year,latitude,longitude,death_count,injury_count,accident_type
2023,33.53137111111111,130.49479138888887,0,2,車両相互
2022,33.53774388888889,130.48620305555554,0,1,車両相互
2023,33.604937222222226,130.40913083333334,0,1,車両相互
2022,33.60099638888889,130.40968833333335,0,1,車両相互
2023,33.63233805555556,130.41857166666665,0,2,車両相互
2023,33.64018194444444,130.42248416666666,0,3,車両相互
2023,33.63315722222222,130.41892388888888,0,1,車両相互
2023,33.59956583333334,130.41595333333333,0,1,車両相互
2023,33.57299833333334,130.2818527777778,0,1,車両相互
2023,33.54165472222222,130.4305122222222,0,1,車両相互
2022,33.543324166666665,130.4844958333333,0,2,車両相互
2023,33.62707,130.4163102777778,0,2,車両相互
2023,33.59263638888889,130.39515805555556,0,3,人対車両
2023,33.56575333333333,130.37799055555556,0,2,車両相互
2023,33.574737500000005,130.38524055555555,0,1,人対車両
2023,33.589640555555555,130.37925666666666,0,1,人対車両
2023,33.57782305555556,130.3822838888889,0,1,車両相互
2023,33.59422861111111,130.36430944444444,0,1,車両相互
2022,33.576729444444446,130.40024083333333,0,1,車両相互
2022,33.580154722222225,130.40830444444444,0,1,車両相互
2022,33.58662,130.3993213888889,0,1,人対車両
2022,33.58969861111111,130.39951333333332,0,1,車両相互
2022,33.58665055555556,130.40623166666668,0,1,車両相互
2023,33.59372944444445,130.39761166666665,0,1,車両相互
2023,33.5783575,130.3788238888889,0,1,車両相互
2023,33.58998305555556,130.38012055555555,0,1,車両相互
2022,33.592914444444446,130.37326972222223,0,3,車両相互
2023,33.59423277777778,130.3902097222222,0,1,車両相互
2022,33.57729305555556,130.39055666666667,0,1,車両相互
2022,33.591968055555554,130.39693944444443,0,1,車両相互
2022,33.595729722222224,130.3964838888889,0,1,車両相互
2022,33.59030805555556,130.406825,0,2,車両単独
2023,33.582929722222225,130.37299083333335,0,1,車両相互
2022,33.58226166666667,130.40350694444444,0,1,人対車両
2022,33.58999027777778,130.38151083333335,0,1,車両相互
2023,33.56693833333334,130.38582416666665,0,1,車両相互
2022,33.587000555555555,130.3923,0,1,人対車両
2023,33.58334833333333,130.40553111111112,0,1,車両相互
2023,33.57703083333334,130.4144638888889,0,1,人対車両
2023,33.59852027777778,130.39830055555555,0,3,車両相互
2023,33.59113166666667,130.39557166666665,0,3,車両相互
2023,33.57428277777778,130.4044475,0,2,車両相互
2022,33.590809722222225,130.39297166666665,0,1,車両相互
2022,33.56419361111111,130.3761,0,1,車両相互
2022,33.58534527777778,130.37153750000002,0,1,車両相互
2023,33.58722777777778,130.4085572222222,0,1,車両相互
2023,33.57630694444445,130.37436,0,1,車両相互
2022,33.587312222222224,130.40029666666666,0,1,車両相互
2022,33.5825,130.40013916666666,0,1,車両相互
2022,33.58212277777778,130.39697305555555,0,1,車両相互
2023,33.57522222222222,130.40246805555557,0,1,人対車両
2023,33.59037527777778,130.37144944444447,0,1,車両相互
2023,33.59181777777778,130.37550833333333,0,1,人対車両
2023,33.59082194444445,130.39289277777777,0,1,車両相互
2023,33.59067027777778,130.3961361111111,0,1,車両相互
2023,33.58962027777778,130.39029333333332,0,1,車両相互
2022,33.58296777777778,130.40921972222222,0,1,車両相互
2023,33.588234722222225,130.36630916666667,0,1,人対車両
2022,33.59502305555556,130.39540666666664,0,1,車両相互
2023,33.577709722222224,130.37751166666666,0,1,車両相互
2023,33.58200638888889,130.3780338888889,0,2,車両相互
2023,33.58218333333334,130.37849944444446,0,1,車両相互
2022,33.58244277777778,130.40567305555555,0,1,車両相互
2022,33.5809475,130.4093961111111,0,1,車両相互
2023,33.59005361111112,130.37859972222222,0,1,人対車両
2022,33.58908166666667,130.3906111111111,0,1,車両相互
2023,33.592823611111115,130.36624055555555,0,2,車両相互
2023,33.59185527777778,130.39679194444443,0,2,車両相互
2023,33.59310694444445,130.36360777777776,0,2,車両相互
2022,33.58932111111111,130.398075,0,1,車両相互
2023,33.60619916666667,130.4378477777778,0,1,人対車両
2023,33.59556333333334,130.4126,0,1,車両相互
2023,33.58568666666667,130.43956666666668,0,3,車両相互
2022,33.565781666666666,130.44220361111113,0,2,車両相互
2022,33.587359166666666,130.41214861111112,0,1,車両相互
2022,33.59889972222223,130.41726138888887,0,1,車両相互
2023,33.571515000000005,130.43719833333333,0,1,車両相互
2022,33.578117222222225,130.43200583333333,0,1,車両相互
2022,33.570055833333335,130.45713166666667,0,1,車両相互
2022,33.58705527777778,130.42901527777778,0,1,車両相互
2022,33.60499138888889,130.43351916666668,0,1,車両相互
2022,33.602223055555555,130.42126055555553,0,1,車両相互
2023,33.55472666666667,130.47448472222223,0,2,車両相互
2023,33.59162222222223,130.4224272222222,0,1,車両相互
2022,33.593915833333334,130.42126638888888,0,1,人対車両
2022,33.59457416666667,130.40766027777778,0,1,車両相互
2022,33.559329166666664,130.44932166666666,0,1,車両相互
2022,33.5888725,130.42232166666665,0,2,車両相互
2022,33.587628888888894,130.42012416666665,0,1,人対車両
2022,33.574557777777784,130.4619013888889,0,2,車両相互
2022,33.60388888888889,130.43739333333335,0,1,車両相互
